winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
4,133,118,101,110,156,1,"[11, 0, 12, 13, 13]","[13, 14, 11, 0, 11]","[0, 0, 0, 10, 13]","[14, 10, 12, 0, 10]","[0, 10, 0, 0, 11]","[10, 13, 0, 0, 11]","[0, 11, 10, 11, 0]","[11, 10, 0, 12, 10]","[10, 10, 10, 12, 0]","[10, 0, 10, 10, 10]","[0, 0, 0, 11, 10]","[10, 10, 0, 11, 10]","[0, 0, 11, 11, 10]","[0, 11, 10, 0, 10]","[11, 11, 0, 0, 0]","[10, 11, 10, 0, 0]","[0, 0, 0, 0, 11]","[0, 0, 11, 0, 0]","[0, 12, 11, 0, 16]"
4,108,122,154,143,184,2,"[0, 13, 12, 11, 13]","[10, 11, 15, 10, 0]","[11, 0, 0, 12, 12]","[0, 0, 0, 10, 16]","[11, 11, 11, 0, 10]","[12, 10, 10, 10, 0]","[0, 10, 0, 0, 10]","[10, 0, 10, 13, 10]","[0, 0, 10, 0, 11]","[10, 10, 0, 10, 10]","[10, 0, 11, 10, 10]","[11, 11, 10, 0, 10]","[12, 10, 11, 10, 0]","[0, 0, 0, 10, 11]","[0, 11, 12, 12, 11]","[12, 0, 10, 10, 12]","[13, 11, 0, 12, 12]","[10, 0, 0, 0, 13]","[11, 0, 0, 14, 13]"
2,101,182,145,99,147,3,"[0, 0, 10, 0, 12]","[0, 0, 10, 15, 10]","[11, 0, 12, 11, 11]","[0, 13, 10, 12, 0]","[0, 0, 12, 0, 10]","[13, 0, 11, 11, 10]","[0, 10, 12, 0, 10]","[11, 10, 0, 0, 0]","[11, 0, 11, 10, 10]","[10, 11, 0, 10, 10]","[11, 11, 10, 10, 0]","[10, 12, 0, 10, 0]","[0, 10, 10, 11, 12]","[11, 0, 12, 10, 11]","[0, 0, 12, 0, 10]","[0, 0, 13, 0, 10]","[0, 0, 13, 11, 10]","[0, 11, 11, 14, 11]","[11, 13, 13, 10, 0]"
4,138,121,109,144,159,4,"[12, 13, 0, 11, 11]","[0, 13, 11, 11, 13]","[0, 0, 12, 10, 12]","[0, 0, 0, 0, 0]","[12, 10, 10, 0, 12]","[11, 11, 0, 11, 0]","[10, 10, 10, 0, 12]","[11, 10, 10, 0, 10]","[11, 10, 0, 10, 10]","[10, 10, 11, 0, 10]","[11, 10, 0, 10, 10]","[11, 0, 10, 0, 12]","[12, 10, 0, 10, 0]","[0, 11, 0, 0, 11]","[12, 0, 12, 11, 0]","[11, 10, 12, 12, 0]","[10, 10, 0, 13, 13]","[0, 0, 11, 0, 13]","[0, 0, 12, 0, 10]"
1,153,148,144,129,144,0,"[11, 11, 0, 14, 14]","[11, 14, 11, 0, 11]","[11, 0, 11, 12, 12]","[10, 11, 0, 10, 0]","[0, 0, 10, 10, 10]","[10, 0, 10, 11, 13]","[0, 13, 11, 10, 10]","[0, 10, 10, 10, 0]","[10, 10, 10, 0, 11]","[0, 10, 10, 10, 10]","[0, 10, 0, 0, 10]","[11, 10, 11, 0, 10]","[0, 11, 0, 10, 10]","[12, 11, 0, 10, 11]","[11, 11, 12, 11, 0]","[10, 11, 12, 13, 0]","[11, 10, 10, 13, 0]","[11, 0, 10, 0, 0]","[0, 0, 10, 0, 12]"
1,181,116,161,130,146,1,"[10, 0, 0, 0, 10]","[0, 0, 0, 11, 12]","[13, 10, 12, 11, 0]","[0, 11, 12, 10, 12]","[0, 10, 0, 12, 12]","[12, 10, 0, 10, 12]","[0, 11, 10, 12, 10]","[10, 10, 0, 0, 10]","[10, 11, 10, 11, 0]","[0, 10, 11, 10, 10]","[10, 11, 0, 11, 10]","[11, 11, 0, 10, 11]","[10, 10, 0, 10, 13]","[10, 11, 12, 11, 0]","[11, 11, 11, 10, 0]","[0, 10, 10, 0, 12]","[0, 10, 14, 11, 0]","[12, 11, 14, 11, 0]","[11, 13, 0, 0, 12]"
4,94,146,131,129,162,2,"[0, 0, 13, 0, 11]","[0, 13, 12, 10, 0]","[14, 0, 10, 0, 12]","[10, 0, 13, 0, 10]","[0, 0, 12, 10, 10]","[10, 10, 10, 0, 10]","[12, 10, 10, 0, 0]","[10, 10, 10, 0, 10]","[0, 10, 11, 10, 10]","[0, 10, 10, 10, 10]","[10, 11, 0, 10, 11]","[10, 0, 0, 11, 0]","[10, 10, 0, 11, 10]","[11, 0, 0, 12, 10]","[11, 0, 11, 10, 11]","[11, 10, 0, 12, 13]","[0, 0, 12, 0, 0]","[10, 0, 0, 12, 13]","[0, 0, 12, 13, 11]"
2,117,151,89,109,144,3,"[0, 0, 10, 0, 12]","[0, 10, 10, 12, 0]","[12, 11, 0, 0, 0]","[13, 0, 12, 10, 10]","[0, 10, 12, 0, 10]","[10, 0, 11, 0, 0]","[10, 11, 10, 0, 10]","[0, 0, 11, 10, 0]","[11, 0, 10, 11, 10]","[10, 11, 0, 10, 10]","[10, 10, 11, 0, 10]","[0, 10, 10, 11, 10]","[0, 10, 0, 0, 10]","[0, 12, 0, 0, 10]","[10, 0, 10, 11, 12]","[11, 0, 11, 14, 10]","[0, 0, 10, 0, 10]","[0, 10, 0, 0, 0]","[12, 12, 13, 0, 10]"
0,132,132,144,157,142,4,"[12, 0, 14, 11, 0]","[10, 13, 0, 11, 10]","[0, 11, 0, 12, 0]","[13, 0, 10, 11, 0]","[11, 11, 12, 0, 10]","[0, 0, 13, 0, 10]","[0, 0, 10, 11, 11]","[10, 0, 10, 0, 0]","[11, 11, 0, 10, 10]","[10, 10, 10, 0, 10]","[0, 11, 0, 10, 0]","[10, 10, 0, 11, 12]","[11, 10, 0, 12, 10]","[13, 0, 10, 12, 10]","[10, 11, 10, 0, 13]","[12, 11, 0, 11, 13]","[0, 0, 10, 11, 11]","[14, 10, 11, 11, 0]","[10, 13, 12, 0, 12]"
0,132,117,121,172,150,0,"[0, 12, 0, 0, 0]","[13, 11, 0, 14, 11]","[13, 11, 10, 0, 11]","[11, 0, 10, 0, 11]","[0, 0, 0, 12, 10]","[13, 10, 11, 0, 0]","[12, 0, 12, 10, 10]","[11, 10, 0, 10, 11]","[11, 10, 10, 0, 11]","[10, 11, 10, 10, 0]","[10, 10, 0, 10, 10]","[10, 0, 10, 11, 11]","[11, 11, 12, 0, 10]","[11, 10, 11, 0, 11]","[11, 0, 0, 11, 10]","[13, 0, 11, 10, 11]","[0, 0, 0, 11, 0]","[12, 12, 0, 12, 12]","[0, 14, 10, 0, 0]"
4,133,152,143,94,169,1,"[13, 12, 13, 11, 0]","[13, 11, 13, 0, 12]","[0, 11, 10, 10, 12]","[0, 0, 12, 12, 0]","[0, 0, 10, 11, 12]","[0, 12, 10, 13, 10]","[0, 0, 0, 10, 11]","[0, 0, 10, 0, 11]","[12, 10, 10, 10, 0]","[0, 11, 10, 10, 10]","[11, 0, 10, 10, 11]","[0, 10, 11, 12, 10]","[10, 0, 0, 0, 12]","[0, 10, 11, 10, 11]","[12, 10, 0, 11, 11]","[12, 11, 0, 0, 0]","[11, 12, 12, 0, 12]","[0, 13, 10, 13, 13]","[0, 0, 0, 0, 11]"
3,115,143,193,146,173,2,"[10, 0, 13, 12, 14]","[12, 14, 0, 13, 10]","[10, 13, 11, 0, 10]","[14, 11, 0, 11, 10]","[12, 0, 10, 12, 11]","[10, 12, 10, 0, 11]","[11, 10, 0, 13, 0]","[0, 10, 11, 10, 12]","[0, 10, 11, 11, 10]","[10, 0, 10, 10, 11]","[10, 0, 10, 10, 10]","[0, 0, 11, 12, 10]","[0, 11, 11, 10, 10]","[11, 11, 11, 11, 0]","[11, 0, 14, 11, 10]","[0, 0, 10, 13, 10]","[0, 0, 0, 12, 11]","[13, 0, 0, 10, 0]","[12, 13, 0, 12, 13]"
0,129,110,127,143,142,3,"[11, 11, 0, 0, 12]","[0, 0, 0, 0, 13]","[12, 0, 11, 0, 0]","[12, 0, 11, 12, 10]","[13, 11, 0, 0, 0]","[11, 11, 12, 0, 11]","[0, 10, 11, 11, 0]","[11, 10, 0, 12, 10]","[10, 0, 11, 11, 10]","[10, 10, 0, 10, 10]","[10, 10, 11, 0, 11]","[0, 10, 10, 10, 12]","[11, 0, 10, 12, 11]","[0, 11, 0, 10, 0]","[11, 11, 0, 0, 12]","[11, 13, 0, 11, 10]","[0, 0, 10, 0, 10]","[0, 0, 0, 13, 0]","[10, 11, 13, 15, 0]"
1,169,110,137,141,151,4,"[10, 0, 0, 13, 11]","[12, 11, 0, 14, 11]","[0, 0, 11, 0, 0]","[10, 11, 14, 0, 0]","[0, 13, 11, 12, 10]","[10, 11, 13, 0, 10]","[0, 11, 10, 11, 11]","[10, 10, 11, 10, 0]","[11, 10, 10, 0, 10]","[10, 10, 0, 11, 10]","[10, 11, 10, 10, 0]","[11, 11, 10, 0, 11]","[11, 0, 10, 10, 11]","[0, 13, 0, 10, 10]","[13, 0, 0, 0, 10]","[0, 10, 0, 12, 0]","[0, 13, 0, 0, 11]","[10, 11, 0, 12, 13]","[13, 13, 0, 12, 12]"
3,153,126,165,122,84,0,"[0, 13, 10, 15, 10]","[12, 0, 0, 11, 0]","[0, 0, 12, 12, 0]","[11, 0, 0, 10, 0]","[12, 11, 10, 0, 10]","[0, 11, 11, 11, 11]","[0, 11, 0, 10, 0]","[0, 0, 11, 10, 0]","[10, 10, 11, 11, 0]","[10, 10, 10, 10, 0]","[10, 10, 0, 10, 10]","[10, 10, 10, 10, 0]","[11, 11, 11, 10, 0]","[0, 0, 10, 0, 11]","[13, 10, 10, 11, 0]","[0, 10, 0, 0, 10]","[0, 13, 10, 0, 10]","[10, 10, 0, 14, 12]","[13, 13, 0, 10, 0]"
0,134,145,141,149,127,1,"[14, 0, 10, 12, 0]","[12, 10, 11, 12, 0]","[0, 12, 10, 10, 12]","[11, 11, 0, 11, 12]","[0, 12, 11, 10, 12]","[11, 0, 0, 0, 12]","[10, 12, 0, 11, 11]","[10, 0, 0, 10, 10]","[0, 11, 10, 0, 0]","[10, 0, 10, 10, 10]","[10, 0, 0, 10, 0]","[11, 10, 10, 0, 0]","[10, 10, 10, 0, 12]","[0, 0, 10, 10, 0]","[13, 11, 10, 0, 11]","[0, 0, 10, 11, 13]","[12, 11, 13, 12, 0]","[0, 13, 10, 12, 12]","[15, 11, 10, 0, 0]"
