numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,110583,110583,1.0
0,1,105406,110583,0.9531844858612988
0,2,71536,110583,0.6468987095665699
0,3,10457,110583,0.09456245535027988
1,0,497464,497464,1.0
1,1,462204,497464,0.9291204991717994
1,2,264546,497464,0.5317892349999196
1,3,13201,497464,0.026536593602753164
2,0,896554,896554,1.0
2,1,801027,896554,0.8934509243168844
2,2,359428,896554,0.40089944387064247
3,0,847662,847662,1.0
3,1,715438,847662,0.8440132977531138
3,2,222829,847662,0.26287482510717713
4,0,462653,462653,1.0
4,1,358590,462653,0.7750733270939559
4,2,63329,462653,0.1368822854277396
5,0,151805,151805,1.0
5,1,103427,151805,0.6813148447020849
5,2,6577,151805,0.0433253186653931
6,0,29721,29721,1.0
6,1,16521,29721,0.5558695871605935
7,0,3309,3309,1.0
7,1,1378,3309,0.41644001208824416
8,0,241,241,1.0
8,1,60,241,0.24896265560165975
9,0,8,8,1.0
9,1,0,8,0.0
