"","rank","probability","player_order"
"1",2,0.464419269687637,0
"2",3,0.499692273261344,0
"3",4,0.538692294872507,0
"4",5,0.575449828899437,0
"5",6,0.614027515511195,0
"6",7,0.657136597655822,0
"7",8,0.699872710166584,0
"8",9,0.748001543635261,0
"9",10,0.78830037793723,0
"10",11,0.838397790055249,0
"11",12,0.888090632771484,0
"12",13,0.944966221782831,0
"13",14,1,0
"14",2,0.465396578538103,1
"15",3,0.499507335231005,1
"16",4,0.534652352312967,1
"17",5,0.580702633483659,1
"18",6,0.618031237841143,1
"19",7,0.657156830779263,1
"20",8,0.698496323125892,1
"21",9,0.741642997596679,1
"22",10,0.786382136178638,1
"23",11,0.844422211105553,1
"24",12,0.888086841525237,1
"25",13,0.945574855252275,1
"26",14,1,1
"27",2,0.464502930443437,2
"28",3,0.499003873824018,2
"29",4,0.531766896702815,2
"30",5,0.582938388625592,2
"31",6,0.615972259847212,2
"32",7,0.660681930489211,2
"33",8,0.703481985940246,2
"34",9,0.751309333480346,2
"35",10,0.792709949036118,2
"36",11,0.83795068554985,2
"37",12,0.889467910038398,2
"38",13,0.944055178454128,2
"39",14,1,2
"40",2,0.465122767857143,3
"41",3,0.498921042438997,3
"42",4,0.537040083347042,3
"43",5,0.572837717342844,3
"44",6,0.617485739359368,3
"45",7,0.658865485344924,3
"46",8,0.697312975428227,3
"47",9,0.742483158990087,3
"48",10,0.788239815526518,3
"49",11,0.843301369103708,3
"50",12,0.891274428846683,3
"51",13,0.944635717458907,3
"52",14,1,3
